dataset_name	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019	GhensiP_2019
study_condition	control	control	mucositis	control	control	control	control	control	control	control	control	control	mucositis	control	control	mucositis	mucositis	control	mucositis	control	mucositis	control	mucositis	mucositis	control	mucositis	control	mucositis	mucositis	mucositis	control	mucositis	control	mucositis	control	mucositis	control	mucositis	control	mucositis	control	control	control	control	control	control	control	control	control	control	control	control	control	mucositis	control	control	control	control	control	control	control	control	control	control	control	mucositis	control	control	mucositis
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinobaculum.s__Actinobaculum_sp_oral_taxon_183	0	0.0769	0	0	0	0	3.16423	0.42851	0.05378	0.00056	0	8.53486	0	0	0.03049	0	0	0	0	7.04037	0	0	0	0	0	0	0	0	0.87959	0	7.56461	0	0	0	25.32885	0	0	0	0	0	1.15063	0	0	0	0	1.31237	0.02914	0	0	0	2.80332	0	0	0	1.1715	0.62767	0	0	0	0.08428	0	0	0	0	0.12588	0	1.30583	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_cardiffensis	0	0	0	0	0	0	0	0	0	0	0.05538	0	0	0	0	0	0	0	0	0	0	0	0	0.02562	0	0	0	0	0	0	0	0	0	0	0	0.00379	0	0	0	0	0	0	0	0	0	0	0.08343	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_denticolens	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00407	0	0	0	0	0	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_georgiae	0	0	0	0	0	0	0.6319	0.00161	0.12654	0	0	1.59003	0	0	0.21075	0	0	0	2.51785	0.02208	0	0.12876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09284	0	0	0	0.14081	2.15345	0.01657	0	0	0	1.95154	0.85816	0	0	0.54296	0.44622	0	1.29655	2.33358	0.02957	0	0	0	0	0.05565	0	15.51298	0.18896	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_hongkongensis	0	0	0	0	0	0	0.17297	0	0	0	0	1.72568	0	0	0	0	0	0	0	0.00875	0	0.22736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03808	0	0	0	0.05944	0.34963	0.00599	0	0	0	0.51219	0	0	0	0.5594	0	0	3.17866	0.00182	0.00739	0	0	0	0	0.00265	0	0.01808	0.47357	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_johnsonii	0	0.3005	0	0	0	0	0.81222	0.12404	0	0	0	3.96715	0	0	0	0	0	0	0	0.05874	0	0.06898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19073	0.02347	0	0	0.1725	0	0.24558	0	0	0	0	0	0	0	13.07713	0	0.0013	0	0	0	0	0	0	0	0	0	1.36727	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_massiliensis	0	0.01731	0	0	0	0	0.16466	0.00045	0.01886	0.00493	0	1.4089	0	0	8.55443	0	0	0	0	15.61979	0	2.96174	0	0	0	0	0	0	0.00297	0	0.14781	0	0	0	15.32317	0	0	0	0	0	0.20351	2.56364	0	0	33.17626	5.54261	0.13357	0	0	0	0.1398	0.06746	0	0	1.1255	0.02512	0.00039	0	0	0.04113	0	0	0	4.27121	0	0	0.07322	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_meyeri	0	0	0.74128	0	0	0	0.19303	0	0.35298	0	0.13396	0.9985	0	0	0	0	0	0	5.03202	0.09813	0.24096	0.00623	0	0.04206	1.60532	0	0	0.05318	0.30982	0	0	0.00044	0	0	0	0.01506	0	0	0	0.0254	0.00486	0	0	0	0.24019	0.32899	0.03151	0	0	26.16871	0.74373	0	0	0	0	0.17776	0.00131	0.00539	0	0.00242	0	0	0	0	0.17063	0	0	0	0.00143
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae.g__Actinomyces.s__Actinomyces_naeslundii	0	1.02399	0	0	0	0	21.33119	0.11138	0.94269	0.04056	0	3.2347	0	0.10842	6.72359	0	2.27875	0	0	2.23214	0.25399	22.93066	0	0	0.16307	0	0	0	0	0	1.30841	0.01848	0.09815	0	1.8777	0	0	0	0	0.00301	0.03563	4.19526	0	0	9.54243	3.00411	0	0	2.369	0	9.52614	11.4056	0.39413	0	2.16548	1.44003	0.0019	0.00279	0	39.27523	0	0	0.04506	1.52289	0.01425	0	0	0.98976	0.01874
