subject	M1-0852	M1-0889	M1-0924	M1-0563	M1-0561	M1-0971	M1-0787	M1-0970	M1-0419	M1-0423	M1-0985	M1-0984	M1-0955	M1-0933	M1-0862	M1-0045	M1-0088	M1-0941	M1-0946	M1-0230	M1-0942	M1-0938	M1-0988	M1-0964	M1-0517	M1-0519	M1-0936	M1-0526	M1-0522	M1-0945	M1-0962	M1-0120	M1-0662	M1-0121	M1-0860	M1-0973	M1-0828	M1-0659	M1-0863	M1-0925	M1-0931	M1-0934	M1-0907	M1-0492	M1-0307	M1-0867	M1-0029	M1-0220	M1-0967	M1-0966	M1-0891	M1-0888	M1-0550	M1-0923	M1-0858	M1-0922	M1-0856	M1-0354	M1-0914	M1-0771	M1-0904	M1-0882	M1-0355	M1-0353	M1-0881	M1-0926	M1-0855	M1-0937	M1-0857	M1-0868	M1-0874	M1-0954	M1-0953	M1-0665	M1-0666	M1-0956	M1-0957	M1-0663	M1-0167	M1-0883	M1-0421	M1-0884	M1-0242	M1-0422	M1-0921	M1-0420	M1-0887	M1-0169	M1-0885	M1-0239	M1-0886	M1-0238	M1-0360	M1-0916	M1-0182	M1-0180	M1-0081	M1-0656	M1-0263	M1-0233	M1-0232	M1-0090	M1-0523	M1-0127	M1-0050	M1-0579	M1-0429	M1-0865	M1-0866	M1-0864	M1-0206	M1-0198	M1-0980	M1-0982	M1-0981	M1-0983	M1-0577	M1-0827	M1-0940	M1-0950	M1-0506	M1-0948	M1-0043	M1-0086	M1-0082	M1-0722	M1-0093	M1-0424	M1-0978	M1-0976	M1-0826	M1-0576	M1-0044	M1-0521	M1-0979	M1-0825	M1-0520	M1-0525	M1-0974	M1-0977	M1-0963	M1-0518	M1-0989	M1-0947	M1-0986	M1-0987	M1-0939	M1-0502	M1-0589	M1-0503	M1-0943	M1-0915	M1-0919	M1-0417	M1-0359	M1-0361	M1-0920	M1-0903	M1-0747	M1-0775	M1-0777	M1-0235
AB_exposure	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	YesAB	YesAB	YesAB	YesAB	NoAB	YesAB	YesAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	YesAB	NoAB	YesAB	YesAB	NoAB	NoAB	YesAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	YesAB	NoAB	NoAB	NoAB	YesAB	NoAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	NoAB	YesAB	NoAB	NoAB	NoAB	NoAB
Diagnosis	CD	CD	CD	CD	CD	CD	CD	CD	CD	Not IBD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	Not IBD	CD	CD	CD	CD	CD	CD	CD	CD	Not IBD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	Not IBD	Not IBD	Not IBD	CD	CD	CD	CD	CD	CD	CD	Not IBD	CD	CD	CD	CD	CD	Not IBD	Not IBD	CD	CD	Not IBD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	Not IBD	Not IBD	CD	CD	CD	Not IBD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	CD	Not IBD	CD	CD	CD	CD	CD	CD	CD	CD	CD	Not IBD	Not IBD	CD
PCDAI	35.0	65.0	5.0	47.5	25.0	35.0	10.0	25.0	5.0			37.5	50.0	50.0	22.5	30.0	25.0	37.5	35.0	50.0	30.0	30.0	15.0	25.0	20.0	42.5	52.5	25.0		40.0	10.0	12.5	47.5	50.0	45.0	15.0	30.0		52.5	40.0	25.0	60.0	15.0	30.0	17.5	65.0	22.5	35.0	45.0	22.5	5.0	40.0	60.0	5.0	10.0		20.0				57.5	47.5	20.0	20.0	37.5	30.0	40.0		30.0	32.5	50.0	25.0	65.0			35.0	50.0		25.0	15.0	15.0	25.0	32.5	10.0	5.0	15.0	35.0	37.5	60.0	32.5	17.5	25.0	35.0	47.5	30.0	40.0	47.5	22.5	10.0	17.5	45.0	12.5	32.5	10.0	40.0	27.5	30.0	27.5	47.5	0.0	37.5	17.5	47.5	37.5	55.0	45.0	57.5	52.5	50.0	40.0	42.5			32.5	32.5	10.0		7.5		55.0	15.0	35.0	30.0	42.5	25.0	40.0	42.5	25.0	32.5	47.5	30.0	37.5	10.0	22.5	15.0	40.0	12.5	22.5	55.0		10.0	25.0	10.0	5.0	57.5	30.0	35.0	37.5	15.0			60.0
race	caucasian	caucasian	african	caucasian	caucasian	caucasian	caucasian	african	caucasian	caucasian	caucasian	other	caucasian	caucasian	caucasian	african	caucasian	other	other	other	other	caucasian	caucasian	other	other	caucasian	other	caucasian	caucasian	other	caucasian	caucasian	caucasian	caucasian	african	african	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	other	caucasian	caucasian	african	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	african	other	other	other	african	caucasian	caucasian	caucasian	caucasian	african	african	caucasian	african	caucasian	caucasian	caucasian	other	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	other	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	african	caucasian	other	other	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	other	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	other	caucasian	caucasian	other	african	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	african	caucasian	other	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	other	caucasian	other	other	caucasian	other	other	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	caucasian	other	caucasian	caucasian	caucasian	caucasian	caucasian
sample_location	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool	stool
Erysipelotrichaceae	0.00014712	0.0615053	0.14907	0.00877844	0.054404499999999995	0.00133918	0.034867800000000004	0.0528021	0.0940719	0.09301219999999999	4.54e-05	0.0155578	0.012079099999999999	0.00013554299999999999	0.023557599999999998	0.0194486	0.0124372	0.0218307	0.0196923	0.051680899999999995	4.429999999999999e-05	0.020949000000000002	0.00988142	0.00852403	0.00762532	0.00193399	0.04276169999999999	0.0236556	0.0381108	0.013156399999999999	0.021337599999999998	0.00371198	0.000654498	0.06441659999999999	5.1e-05	0.0681095	0.16855599999999998	0.030317400000000005	0.21061100000000002	0.00332709	0.025399599999999998	4.1200000000000005e-05	0.0146762	5.2300000000000004e-05	0.04712430000000001	0.0	0.00165289	0.028959199999999997	0.127868	0.000148199	0.023093400000000004	0.0739189	0.0759402	0.0261726	0.0218283	0.054315199999999994	0.0228417	0.0640795	0.018461900000000003	0.0496375	0.00291307	0.00584868	0.014537999999999999	0.00339864	0.00319173	0.0847442	0.0138964	0.0098227	0.0491456	0.07170689999999999	4.73e-05	0.00679008	0.000147522	0.0622624	0.0804552	0.0437169	0.000162136	0.043166199999999995	4.6899999999999995e-05	0.033042400000000006	0.0347234	0.0621534	0.010806	0.0117699	0.149015	0.016392900000000002	0.0234317	0.054233500000000004	0.00014649299999999998	0.0399521	0.026219599999999996	0.0337525	6.99e-05	0.0229203	0.0194943	0.0204689	0.0361246	0.0851207	0.028417	0.0135464	0.039555400000000004	0.007456	0.0363477	0.0476293	3.07e-05	0.00982843	0.031793	0.0792663	0.119603	0.052171800000000004	0.0356056	0.0128549	0.12792699999999999	0.0201168	0.00835203	0.100766	0.042868699999999996	0.0710837	0.00028559900000000004	0.00107761	0.000226805	0.13705599999999998	0.023732200000000002	0.0311596	0.0264503	0.0449066	0.0126955	0.013769	0.027342900000000003	0.0846454	0.00317767	0.0785944	0.00500023	0.053538999999999996	0.013900999999999998	0.129242	0.00258684	0.14310499999999998	0.0127396	0.0403038	0.0109024	0.0268882	0.0583582	0.00584831	0.00544777	0.08003719999999999	0.068616	0.0334197	0.00029463	0.026252800000000003	0.0648116	0.030619900000000002	0.032884500000000004	0.030816700000000002	0.046886000000000004	0.013469499999999999	0.0827892	0.00610998	0.168981	0.0242817	0.0251674	0.0009798580000000001
Neisseriaceae	0.00178996	0.0	0.0	0.0	0.0	0.0	0.0	6.29e-05	0.0	0.0	0.00311328	0.0	0.000157098	0.0	0.0	0.00011716	0.0	0.000161311	0.0	1.3699999999999998e-05	0.0	0.0	0.0	0.0	0.000135361	0.0	0.0	9.279999999999999e-05	0.0	0.000258532	0.0	0.0	0.000290888	0.000716352	0.00010195	0.0	0.0	0.0	0.0	5.98e-05	0.0	0.0	0.0	0.0	0.00013041799999999998	0.0	0.0	0.0	7.859999999999999e-05	0.000765697	0.00902256	0.0	0.000643998	0.0	2.52e-05	0.0	0.0	0.0	0.0	4.48e-05	0.0	0.0	4.59e-05	0.00434647	0.0	3.1e-05	0.0	0.0	0.00477557	9.39e-05	0.0	6.61e-06	0.0	1.11e-05	0.0	3.91e-05	0.0	0.0	0.00114022	0.0	0.0	0.0	0.0	0.0	0.0	3.14e-05	0.0	0.0	7.32e-05	0.0	0.0	1.09e-05	0.025667000000000002	0.000160282	0.0	1.7199999999999998e-05	0.0	1.74e-05	0.0	0.000440419	0.0	9.559999999999999e-05	0.0	0.0	0.00111614	0.0	4.09e-06	9.04e-05	0.00010915799999999999	0.0	0.0	3.7e-05	0.0	0.0	0.0	0.0	0.018342700000000003	6.440000000000001e-05	0.00042839800000000003	0.0	0.0	0.0	0.0	1.42e-05	0.00015636600000000001	0.0	0.0	2.9600000000000005e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000264201	9.15e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.19e-05	0.00135039	0.0	0.00032058099999999996	0.00131959	0.0	1.06e-05	8.48e-05	0.00638613	6.3e-06	0.0	0.0	0.0	0.0	0.0
Clostridiales	0.23078200000000001	0.355961	0.64795	0.39366999999999996	0.42295699999999997	0.21132199999999998	0.457741	0.5939369999999999	0.7355659999999999	0.751853	0.05672080000000001	0.7049949999999999	0.276982	0.00199925	0.40465100000000004	0.233188	0.674958	0.558636	0.395597	0.547511	0.000354123	0.08747139999999999	0.00094518	0.709236	0.440283	0.0729451	0.616965	0.00318501	0.6546069999999999	0.59129	0.697789	0.427443	0.181514	0.11183399999999999	0.30449899999999996	0.495591	0.681886	0.8881479999999999	0.305374	0.573435	0.722735	0.000824097	0.680292	0.000470539	0.752293	0.00151362	0.9655370000000001	0.957744	0.572858	0.325347	0.00136054	0.26198699999999997	0.323287	0.802365	0.7015279999999999	0.679059	0.396644	0.5143260000000001	0.864137	0.580659	0.310526	0.020159299999999998	0.42279300000000003	0.315275	0.620025	0.466596	0.422159	0.47001000000000004	0.463978	0.653196	0.00118332	0.785137	0.00216365	0.76479	0.438644	0.696017	0.00264822	0.7768079999999999	0.00118707	0.679085	0.39215	0.66606	0.49321400000000004	0.8365049999999999	0.7318020000000001	0.9147379999999999	0.601642	0.656582	0.00307636	0.775071	0.688806	0.528361	0.00164353	0.552401	0.324277	0.6538470000000001	0.503948	0.74729	0.606154	0.33032100000000003	0.790663	0.477602	0.402206	0.565764	0.12682000000000002	0.359982	0.682389	0.6519199999999999	0.583018	0.660608	0.392974	0.435561	0.779801	0.942945	0.88784	0.830571	0.190594	0.753583	0.00254659	0.5622050000000001	0.529126	0.659987	0.528617	0.405773	0.47889499999999996	0.461658	0.692362	0.722548	0.00767063	0.79865	0.44630200000000003	0.784284	0.940823	0.788695	0.209389	0.80286	0.0663957	0.616973	0.709462	0.855891	0.776171	0.665017	0.698928	0.5629810000000001	0.711909	0.06932970000000001	0.675842	0.847582	0.0703921	0.6099220000000001	0.623046	0.563044	0.864823	0.696646	0.24393800000000002	0.399338	0.6329020000000001	0.00305499	0.7131689999999999	0.420415	0.817769	0.406794
Pasteurellaceae	0.36385300000000004	0.000125074	2.7600000000000003e-05	0.00068002	7.63e-05	0.012320399999999999	3.12e-05	0.000503176	0.0	0.0	0.204795	0.00400057	0.000541116	0.0	0.00486588	0.371749	0.00143506	0.00173857	0.00016831	0.055556299999999996	0.0	0.0	0.0031506	0.00754636	0.06010019999999999	8.41e-05	4.48e-05	0.00324685	2.99e-05	0.0489343	0.000922155	0.000377489	0.00123627	0.125968	0.0	0.00903736	4.1899999999999995e-05	2.15e-05	0.000360691	0.0888752	0.0	0.0	3.0799999999999996e-05	5.2300000000000004e-05	0.039647	0.0	8.26e-05	0.00038612300000000004	0.00268682	0.0225016	0.041317599999999996	2.8699999999999996e-05	0.123751	0.00222704	0.015874	0.001065	0.000108254	0.00172637	0.0	0.00146476	0.0	0.0	0.0	0.011996799999999998	0.0	0.000278815	0.00035811	0.000152054	0.176019	0.00998035	0.00889857	4.6299999999999994e-05	0.000147522	3.3299999999999996e-05	0.00757051	0.000596717	0.000162136	4.8899999999999996e-05	0.519782	0.00150553	0.004468199999999999	0.00152689	0.00204217	0.000557153	4.9e-05	9.42e-05	0.000194113	4.23e-05	0.00146493	0.00544495	6.0899999999999996e-05	0.00117268	0.05399169999999999	0.020997	0.000438484	0.038037	0.0113404	0.0462978	6.159999999999999e-05	0.031752800000000005	4.45e-05	0.0112437	3.01e-05	0.0287726	3.07e-05	0.000283276	0.00354166	0.00337712	0.0512086	0.00046332	0.0665085	0.00616186	0.000306044	2.8899999999999998e-05	3.12e-05	0.000137307	0.013276900000000001	0.00166089	0.00356998	0.00405898	0.016311799999999998	2.4e-05	6.02e-06	0.00048442	0.00721238	2.3899999999999998e-05	9.13e-05	0.00162859	0.000260906	0.000855324	9.209999999999999e-05	8.23e-05	0.000366989	0.000169696	0.00020323099999999998	0.000213421	0.0	9.96e-05	8.25e-05	0.0005639519999999999	1.4999999999999999e-05	0.00242741	0.00324713	0.000223373	2.9100000000000003e-05	0.000342248	0.00013515899999999998	0.0006373759999999999	0.571583	0.00028486099999999997	0.10955999999999999	0.000879729	0.000171631	0.00200192	0.000496596	0.0676133	0.014003899999999998	4.6299999999999994e-05	0.000179093	0.00230777	0.013416399999999998	0.0613827
Bifidobacteriaceae	2.45e-05	0.053656899999999993	0.049072500000000005	0.0	0.0013474000000000001	0.21694699999999997	0.00162176	0.221681	0.07436	0.061436300000000006	0.14691500000000002	0.000278558	3.4899999999999995e-05	0.356986	0.0191615	0.00187456	0.000717532	0.00517986	0.22015	0.0110647	0.0	0.294022	0.07607260000000002	0.06528980000000001	0.00306818	0.13256300000000001	0.120843	0.11367100000000001	0.11294000000000001	0.003404	0.19933900000000002	0.155525	0.13759000000000002	0.119796	0.024136599999999998	0.051095800000000004	0.045308999999999995	0.0399931	0.320523	0.000856676	0.11847200000000001	0.0	0.00018460700000000002	0.0	0.015063299999999998	0.00020181599999999998	0.000330579	7.92e-05	0.000172836	4.94e-05	0.0860723	2.8699999999999996e-05	0.000334879	0.0461569	0.040182300000000004	0.0150876	0.000108254	0.143852	0.0351897	0.000179359	0.00664322	0.00236436	0.036964	0.011184399999999999	6.38e-05	0.169457	0.051803699999999994	0.00124684	1.7800000000000002e-05	0.020161900000000003	0.000189331	0.0630479	0.169601	0.0497454	0.0045522	0.0116604	0.000378317	0.020372499999999998	0.0123393	0.207076	0.0315986	0.00361513	0.00047719	0.025897700000000003	0.0005388459999999999	0.000942122	0.00876122	0.0662447	0.00010987	0.0342712	0.219045	0.0272973	0.107599	0.0721498	0.00241166	0.0381486	0.10777	3.4899999999999995e-05	0.015299100000000001	0.000589593	0.016414599999999998	0.000262872	0.052136300000000003	0.024327500000000002	0.00017407700000000002	0.0208269	0.00105226	0.00010165200000000001	0.013767500000000002	0.0272973	0.00206019	0.000512719	0.012114299999999998	0.000115614	0.030759199999999997	0.000120144	0.197078	0.060848	0.00778256	0.16911199999999998	0.00624166	0.0505172	0.00892739	0.0984228	0.00014659299999999998	0.0184931	0.00018266900000000002	0.0186784	0.239929	0.012037899999999999	0.12415999999999999	0.0470057	4.59e-05	0.0589523	0.0660908	0.00387207	0.108771	0.144519	0.138817	0.00375968	0.000120136	4.6700000000000003e-05	0.0811242	0.0408772	0.058643600000000004	0.275852	0.0504145	0.0160512	0.00117852	0.0167498	0.0264849	0.0614643	0.000120142	0.0815142	0.000266466	0.00618691	0.0238268	0.10349900000000001	0.0951817	0.0577946	6.86e-05	2.18e-05
