dataset_name	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016	VogtmannE_2016
study_condition	control	control	CRC	CRC	CRC	CRC	CRC	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	control	control	control	control	control	control	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	CRC	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	control	control	CRC	control	CRC	control	CRC	control	control	CRC	control	control	CRC	control	CRC	CRC	CRC	CRC	control	CRC	CRC	CRC	CRC	control	CRC	control	control	CRC	CRC	control	control	CRC	CRC	control	control	control	CRC	CRC	control	control	CRC	control	CRC	control	CRC	control	control	control	control	control	CRC	CRC	control	CRC	CRC
k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales	0	0	0.00221	0	0.00058	3.39812	0	0	0.13338	0	0.88116	0.39729	0	0	4.64882	0	0	0.32069	0	0.18862	1.12579	0.01469	0	0	2.75236	0	0.03172	0	0	0	0	0.05547	0	0	0	0	0.4861	0	0.1614	0.2375	0	0.68604	0.01197	1.21133	0	0	0.41986	0	0	0	0	0	0.21937	0	0	0.00858	0.03554	0.26687	0	0	0	0.00142	0	0	0.90192	0.00794	1.12226	0	0.02557	0.00592	1.52852	0	0	19.18022	0	0	0	0.03643	0	1.95705	0.21921	0	0	0.03036	0.02388	0	0	0	1.837	0.50711	0	0	0	0.30245	2.90989	0.42638	1.45428	0	0	0	0.41988	0	2.6477	0
k__Archaea.p__Euryarchaeota.c__Thermoplasmata.o__Methanomassiliicoccales	0	0	0	0	0	1.201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18602	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.91552	0	0	0	0	0	0	0	0.09003	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	0.0034	0	0.00136	0.01301	0.00605	0.05455	0	0.00105	0.00418	0.04808	0	0.00022	0.00623	0.00453	0.005	0	0	0.00377	0.00196	0	0	9.00E-04	0	0.00199	0	0.01157	0	9.00E-05	0.00181	0	0.00696	0.01659	0.00884	0.00209	0	0.03208	0.00588	0	0.00857	0	0.52535	0	0.03722	0.0019	0	0.00038	0.00609	0	0.0012	0.00125	0.08896	0.03201	0	0	0	0.13538	0	0.0132	0.01848	0.01683	0.01331	0	0	0	0	0.00515	0.11122	0	0.0048	0.00147	0	0.00115	0.00267	0.07141	0.00444	0.00127	0	0.00256	0.00527	0.00267	0.00088	0	0.00503	0.00872	0	0.00661	0.00551	0	0	0	0.0022	0.00125	0	0.00075	0.00261	0	0	0	0.01783	0.00468	0.03384	0.00381	0.00031	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	0.0	1.17084	0.12088	0.68199	0.00028	0.02941	2.88884	0.00663	0	0.34604	0.0487	0.10611	0.00126	0.04959	1.709	0.19781	0.06126	0.03731	1.12531	0.23788	0.25756	0.03834	6.3017	1.48235	0.20144	0.0	0.79565	0.48924	0	0.66971	0.03038	0.70866	0	3.95292	0.2841	0.08036	0.042	0.44507	0.34357	1.23286	0.12856	0	0.06144	2.08047	8.10244	0.26782	0.02222	0.29964	0	0	0	0.21732	0.21595	0	0.00442	1.41048	0.01402	0.01426	0.0	0.0008	28.48367	1.35822	0.48563	0	0.01346	0.01161	1.928	1.61557	0.01474	0.79043	0.11448	0.23491	0.00859	0.06831	1.56262	0.06651	0	0.01433	1.93769	0.15651	0.0	0.15676	0	0.00974	0.00264	0.07765	3.35786	0.00172	9.55452	4.28669	0.00402	0.6967	5.84472	3.69655	0	2.26894	2.68482	1.24546	0.36786	1.06779	0.02986	10.52324	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Corynebacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	0	0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.00022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00195	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Micrococcales	0	0	0	0	0	0	0.00866	0.02361	0	0.03302	0	0.01576	0	0	0	0.00042	0	0.00493	0	0	0	0	0	0	0	0	0	0	0	0.01378	0	0.00993	0	0	0	0.07161	0	0	0.02181	0	0.21013	0	0	0	0	0	0.00462	0.00208	0	0	0.01221	0.01709	0	0	0.0	0.02616	0.01011	0.00611	0	0.01059	0	0	0	0	0	0.0	0.00012	0	0	0	0	0.00295	0	0.0	0	0	0	0	0	0.00203	0	0	0	0	0.00047	0.0	0.00416	0	0	0	0	0	0.00282	0.00507	0	0	0	0	0.02591	0	0.0005	0	0	0
k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Propionibacteriales	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00133	0.0	0.0	0.0	0.0	0.00464	0.00118	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	0.55141	0.9727	0.43183	0.30092	0.19407	0.01411	2.0775	0.82364	0.44017	0.80992	1.17909	0.1775	0.38332	0.0	1.60196	0.00037	1.1692	0.90233	0.20693	0.51341	1.27207	0.14909	0.0	0.69542	0.19534	0.69262	0.49815	0.98429	0.0	0.0	0.39972	0.97623	2.35673	0.97818	0.44489	1.3866	0.38355	0.0	0.63466	1.30369	0.02238	0.29887	1.858	1.38214	0.0	1.81297	1.21062	2.58453	0.0	1.18896	0.90288	0.91006	0.47126	0.0	0.81092	1.37293	0.02798	0.22616	0.0101	4.20496	3.4123	0.65595	1.20409	0.12164	0.81727	0.49403	2.30096	0.0032	6.09835	0.00045	0.9239	2.05183	0.0	3.84199	0.00339	0.38512	0.87119	1.03768	2.61459	0.6198	0.32608	0.90686	0.0	1.88685	3.17607	0.00446	0.64107	0.68016	2.01807	0.3394	0.00143	0.0	0.0379	0.54811	0.40887	0.88727	1.50024	1.738	1.06672	1.38412	1.69358	3.19436	0.00103	0.0
k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Eggerthellales	0.15282	0.28663	0.07851	0.23581	0.27556	1.14281	0.05739	0.26902	0.10804	0.24329	0.27294	0.3272	0.21756	0.14984	0.19292	0.11973	0.02939	0.08615	0.17218	0.21379	0.60771	0.00592	0.71648	0.16889	0.04466	0.59808	0.00785	1.55247	0.16563	0.53849	0.04699	0.10446	0.4536	0.52827	0.05418	0.40871	0.0718	0.15967	2.98759	0.04963	0.0	0.18783	0.45922	0.11776	0.17043	0.1128	0.15288	0.18024	0.17229	0.36516	0.41616	0.3619	0.18393	0.16341	0.10466	0.08613	0.11054	0.42283	1.09289	1.14765	0.61003	0.01867	0.05741	0.07559	0.07979	0.24781	0.65362	0.89734	0.69032	0.69011	0.10062	0.55969	0.07903	2.04883	0.3083	0.04037	0.53562	0.07256	0.5952	0.0247	0.13928	0.09974	0.17528	0.20911	1.38854	0.37546	0.22832	0.06743	0.09653	0.07409	0.75627	0.13222	0.0737	0.05949	0.12459	0.1095	0.19469	0.05772	0.0501	0.47509	0.19439	1.80796	1.17612	0.28831
